Delivery_Person_Age,Delivery_Person_Rating,Weather,Traffic_Level,Vehicle_Type,Area_Type,Order_Type,Festival,Multiple_Deliveries,Distance_km,Delivery_Time_min
27.0,4.5,Sunny,High,Scooter,Suburban,Dinner,No,1.0,5.0,59.0
,4.1,Cloudy,Low,Motorcycle,Rural,Breakfast,No,2.0,5.4,61.0
33.0,4.4,Sunny,Medium,Bicycle,Urban,Dinner,No,3.0,2.6,47.0
31.0,4.3,Cloudy,High,Motorcycle,Urban,Dinner,No,2.0,5.8,72.0
36.0,3.8,Stormy,Medium,Car,Suburban,Dinner,Yes,0.0,12.6,113.0
28.0,3.8,Stormy,High,Car,Suburban,Lunch,No,2.0,5.7,95.0
24.0,4.3,Cloudy,High,Motorcycle,,Lunch,Yes,2.0,8.9,105.0
41.0,4.2,Cloudy,Jam,Bicycle,Suburban,Snack,No,2.0,6.1,81.0
15.0,3.8,Rainy,,Bicycle,Suburban,Dinner,No,2.0,4.5,67.0
30.0,4.0,Cloudy,Medium,,Urban,Dinner,Yes,3.0,3.4,71.0
25.0,4.1,Cloudy,Low,Motorcycle,Urban,Dinner,No,0.0,,38.0
14.0,4.5,Rainy,Medium,Bicycle,Rural,Snack,,1.0,3.2,64.0
28.0,4.1,Sunny,Medium,Scooter,Urban,Breakfast,No,2.0,6.2,63.0
34.0,3.9,Rainy,High,Bike,Urban,Dinner,No,3.0,4.0,82.0
41.0,4.5,Cloudy,Medium,,Suburban,Lunch,Yes,1.0,6.5,74.0
36.0,3.7,Rainy,Medium,Motorcycle,Suburban,Snack,No,1.0,6.6,83.0
24.0,4.3,Windy,Jam,Motorcycle,,Dinner,No,1.0,4.1,73.0
32.0,3.7,,Medium,Motorcycle,,Dinner,No,0.0,7.0,81.0
33.0,4.3,Cloudy,Low,Motorcycle,Suburban,Breakfast,No,1.0,4.4,31.0
33.0,4.1,,High,Motorcycle,Rural,Snack,No,1.0,3.4,63.0
30.0,3.7,Cloudy,High,Motorcycle,Urban,Dinner,No,1.0,7.5,89.0
26.0,4.6,Stormy,Low,Car,Urban,Breakfast,Yes,0.0,11.0,78.0
34.0,3.5,Cloudy,Jam,Motorcycle,Suburban,Lunch,No,2.0,3.4,73.0
28.0,4.4,Rainy,High,Scooter,Suburban,Snack,Yes,0.0,5.2,102.0
32.0,4.8,Rainy,Medium,Bicycle,Suburban,Lunch,No,0.0,6.6,73.0
25.0,4.3,Rainy,,Motorcycle,Urban,Breakfast,No,1.0,6.0,67.0
22.0,4.0,Stormy,Medium,Scooter,Urban,Dinner,No,1.0,3.1,69.0
31.0,3.7,Sunny,High,Car,Suburban,Lunch,No,2.0,11.1,92.0
40.0,4.1,Windy,,Bicycle,Rural,Lunch,No,1.0,2.7,77.0
32.0,3.6,Windy,Jam,Bike,Urban,Snack,No,3.0,,86.0
39.0,4.1,Sunny,Medium,Bicycle,Suburban,Dinner,No,2.0,0.6,57.0
28.0,3.2,Cloudy,,Scooter,Urban,Dinner,No,2.0,6.9,76.0
37.0,4.8,Sunny,Medium,Scooter,,Snack,No,3.0,7.4,64.0
27.0,4.7,Rainy,High,Motorcycle,,Lunch,Yes,2.0,6.8,83.0
32.0,4.4,Sunny,Low,Motorcycle,Suburban,Snack,No,3.0,1.7,30.0
23.0,3.8,,Low,Motorcycle,Urban,Dinner,No,3.0,3.8,58.0
23.0,4.0,Sunny,Medium,Scooter,,Lunch,Yes,0.0,9.4,59.0
33.0,4.1,Sunny,,Motorcycle,Urban,Lunch,No,1.0,6.7,63.0
24.0,3.7,Sunny,High,Motorcycle,Urban,Lunch,No,1.0,2.9,59.0
27.0,4.3,Windy,High,Motorcycle,Urban,Lunch,No,2.0,,61.0
41.0,4.3,Windy,Low,Motorcycle,Suburban,Lunch,No,3.0,13.2,90.0
33.0,3.9,Sunny,Medium,Scooter,,Lunch,No,2.0,2.0,33.0
36.0,4.1,Rainy,Medium,,Urban,,No,2.0,6.2,74.0
30.0,4.6,Rainy,High,Scooter,Rural,,No,1.0,8.0,89.0
37.0,3.9,Sunny,Medium,Bike,Rural,Lunch,Yes,1.0,2.0,40.0
31.0,4.1,Sunny,High,Bicycle,Urban,Dinner,No,1.0,5.5,50.0
27.0,4.5,Rainy,Medium,Scooter,Urban,Dinner,,3.0,5.0,75.0
31.0,3.9,Rainy,High,Scooter,Suburban,Dinner,Yes,2.0,6.5,79.0
36.0,3.9,Windy,High,Bike,Suburban,Dinner,No,1.0,6.7,57.0
25.0,4.3,Cloudy,Medium,Car,Urban,Lunch,No,2.0,10.1,73.0
24.0,4.6,Sunny,Medium,Scooter,Suburban,Breakfast,No,2.0,12.8,89.0
26.0,3.9,Sunny,High,Motorcycle,Suburban,Dinner,No,2.0,1.9,62.0
33.0,4.0,,Low,Car,Urban,Lunch,,1.0,1.3,42.0
26.0,4.7,Sunny,Medium,Motorcycle,Urban,Dinner,No,0.0,8.1,61.0
25.0,4.6,Windy,Medium,Motorcycle,Urban,Dinner,Yes,3.0,3.2,82.0
28.0,3.8,Cloudy,High,Scooter,,Snack,Yes,2.0,10.0,118.0
24.0,4.0,Sunny,Low,Motorcycle,Suburban,Lunch,No,2.0,7.5,64.0
36.0,4.2,Sunny,Low,Bicycle,,Lunch,No,2.0,2.3,55.0
26.0,3.7,Cloudy,,Motorcycle,Suburban,Snack,No,0.0,1.6,61.0
29.0,3.6,Windy,Medium,Motorcycle,Urban,Snack,No,3.0,7.8,99.0
24.0,4.4,Sunny,High,Motorcycle,Suburban,Snack,Yes,3.0,3.8,74.0
30.0,3.8,Sunny,High,Motorcycle,Urban,Dinner,No,3.0,12.1,86.0
29.0,4.4,,High,Motorcycle,Rural,Snack,No,1.0,7.6,66.0
35.0,4.0,Cloudy,High,Scooter,Urban,Lunch,No,5.0,5.2,85.0
44.0,3.8,Rainy,High,Motorcycle,Urban,Lunch,Yes,,3.1,80.0
33.0,4.7,Rainy,Medium,Scooter,Urban,Breakfast,Yes,1.0,4.0,79.0
27.0,3.6,Stormy,Low,Motorcycle,Urban,Breakfast,Yes,0.0,10.5,107.0
31.0,5.0,Rainy,Medium,Motorcycle,Suburban,Dinner,No,3.0,15.5,99.0
31.0,3.8,Cloudy,Low,Motorcycle,,Lunch,No,1.0,2.6,39.0
29.0,3.9,,Low,Motorcycle,Suburban,Dinner,No,2.0,5.1,63.0
33.0,4.0,Cloudy,Low,Motorcycle,Urban,Dinner,No,2.0,7.5,54.0
31.0,4.0,Windy,High,Motorcycle,Urban,Dinner,No,0.0,5.6,69.0
26.0,3.9,Sunny,High,Motorcycle,Rural,Breakfast,Yes,1.0,3.2,70.0
33.0,3.8,Rainy,High,Motorcycle,Rural,Lunch,,1.0,12.6,94.0
34.0,4.0,,Medium,Motorcycle,Suburban,Dinner,No,0.0,1.4,49.0
32.0,4.2,Sunny,Medium,Car,Suburban,Lunch,Yes,1.0,4.3,63.0
38.0,4.5,Rainy,Medium,Motorcycle,Suburban,Dinner,No,2.0,7.5,76.0
24.0,4.6,Sunny,,Bicycle,Rural,Lunch,No,2.0,2.7,56.0
30.0,3.7,Cloudy,Medium,Car,,Lunch,No,1.0,3.5,48.0
19.0,4.4,Stormy,Medium,Scooter,Urban,Dinner,No,0.0,3.7,77.0
36.0,4.2,Rainy,Medium,Motorcycle,Suburban,Lunch,No,0.0,10.6,102.0
19.0,4.1,Rainy,High,Motorcycle,Rural,Dinner,No,2.0,2.0,80.0
24.0,4.4,Windy,High,Motorcycle,Urban,Breakfast,No,1.0,7.4,88.0
25.0,4.1,Stormy,Jam,Motorcycle,Urban,Snack,No,3.0,8.9,120.0
36.0,4.6,Stormy,High,Scooter,Urban,Dinner,No,0.0,6.6,91.0
22.0,3.8,Sunny,High,Scooter,Urban,Lunch,No,1.0,3.1,68.0
34.0,3.9,Sunny,Medium,Motorcycle,Rural,Lunch,No,,4.6,59.0
35.0,4.4,Sunny,High,Motorcycle,Urban,Snack,No,1.0,3.0,66.0
23.0,3.6,Rainy,High,Motorcycle,Urban,Lunch,No,0.0,13.3,101.0
22.0,4.7,Sunny,High,Motorcycle,Rural,Dinner,No,1.0,3.7,68.0
30.0,4.1,Cloudy,Jam,Motorcycle,Suburban,Dinner,No,3.0,6.8,83.0
25.0,4.2,Sunny,,Motorcycle,Rural,Lunch,No,0.0,,64.0
28.0,4.4,,Low,Motorcycle,Urban,Lunch,No,1.0,0.8,50.0
27.0,4.2,Cloudy,High,Motorcycle,Urban,Snack,No,1.0,4.8,56.0
27.0,4.7,Cloudy,Low,Scooter,Rural,Breakfast,No,0.0,8.8,72.0
36.0,3.3,Windy,High,Car,Suburban,Dinner,No,0.0,2.8,68.0
28.0,4.4,Sunny,High,Motorcycle,Urban,Lunch,No,1.0,5.8,76.0
31.0,4.5,Windy,High,Bicycle,Rural,Dinner,No,1.0,14.3,94.0
28.0,3.6,Rainy,Low,Motorcycle,Rural,Lunch,No,1.0,9.0,70.0
39.0,4.0,Windy,Medium,Scooter,,Lunch,No,0.0,2.1,36.0
26.0,4.5,Sunny,Jam,,Rural,Breakfast,No,2.0,3.2,80.0
34.0,3.1,Windy,Medium,Motorcycle,Urban,Breakfast,,1.0,2.6,50.0
30.0,4.4,Rainy,Medium,Bicycle,Urban,Dinner,No,1.0,3.6,64.0
27.0,4.1,Sunny,,Motorcycle,Rural,Lunch,No,1.0,5.5,61.0
29.0,4.9,Stormy,Low,Motorcycle,Urban,Lunch,No,0.0,8.7,86.0
24.0,4.1,Sunny,Medium,Scooter,Suburban,Lunch,No,0.0,2.6,69.0
30.0,4.6,Windy,Medium,Motorcycle,Urban,Dinner,Yes,4.0,4.4,60.0
21.0,4.1,Cloudy,High,Scooter,Suburban,Dinner,Yes,0.0,0.6,70.0
29.0,3.7,Stormy,Low,Motorcycle,Suburban,Dinner,No,1.0,12.8,87.0
37.0,4.0,Windy,Medium,Scooter,Rural,Breakfast,No,1.0,6.5,65.0
28.0,3.8,Stormy,High,,Suburban,Lunch,No,0.0,2.5,80.0
18.0,4.0,Windy,Medium,Scooter,Suburban,Dinner,No,3.0,7.6,69.0
22.0,4.3,Rainy,High,Car,Urban,,No,2.0,4.5,79.0
29.0,3.4,,High,Motorcycle,,Snack,No,3.0,2.9,73.0
23.0,5.0,Rainy,High,Scooter,Urban,Breakfast,,1.0,0.9,63.0
15.0,4.1,Sunny,High,Motorcycle,Rural,Lunch,No,3.0,10.4,85.0
19.0,3.8,Sunny,,Scooter,Rural,,No,1.0,2.3,57.0
40.0,4.5,Windy,,Car,Urban,Lunch,Yes,0.0,5.7,94.0
30.0,4.3,,Medium,Scooter,Urban,Dinner,No,1.0,3.1,65.0
18.0,4.4,Stormy,Low,Motorcycle,Urban,Lunch,No,3.0,7.3,80.0
35.0,4.0,Stormy,Medium,Bicycle,Urban,Lunch,Yes,1.0,5.6,96.0
33.0,4.0,Sunny,Medium,Car,Urban,Snack,No,1.0,5.4,50.0
29.0,4.8,,Low,Motorcycle,Suburban,Dinner,Yes,2.0,2.6,83.0
24.0,4.5,Stormy,Low,Scooter,Rural,,No,1.0,11.6,82.0
25.0,4.0,Rainy,Low,Scooter,Urban,,No,0.0,5.9,58.0
15.0,3.4,Rainy,High,Bicycle,Urban,Dinner,No,3.0,3.9,72.0
24.0,4.0,Cloudy,High,Car,Suburban,Snack,Yes,3.0,6.1,74.0
19.0,4.2,Sunny,,Car,Urban,Dinner,,1.0,2.6,42.0
30.0,4.6,Windy,High,Motorcycle,Suburban,Lunch,No,0.0,7.0,81.0
32.0,3.7,Rainy,Medium,Motorcycle,Suburban,Lunch,No,1.0,1.4,45.0
30.0,3.8,Cloudy,Low,Motorcycle,Rural,Dinner,No,1.0,5.4,75.0
23.0,3.6,Sunny,Low,Motorcycle,Urban,Lunch,No,0.0,4.5,31.0
19.0,3.3,Sunny,Medium,Bicycle,Suburban,,No,0.0,5.2,53.0
20.0,4.4,Windy,Low,Bicycle,Urban,Dinner,No,2.0,1.9,68.0
23.0,4.7,Cloudy,,Bike,Urban,Lunch,No,2.0,5.2,68.0
23.0,4.5,Sunny,High,Motorcycle,,Dinner,Yes,2.0,5.1,90.0
28.0,4.0,Sunny,High,Motorcycle,Rural,Dinner,No,1.0,3.3,79.0
33.0,4.1,Sunny,Medium,,Suburban,Lunch,Yes,0.0,0.6,53.0
26.0,4.0,,Medium,Motorcycle,Urban,Dinner,No,3.0,2.0,56.0
33.0,5.0,Cloudy,Medium,Motorcycle,Suburban,Dinner,No,1.0,2.1,48.0
21.0,4.6,Sunny,High,Car,Urban,Lunch,Yes,1.0,0.5,55.0
25.0,3.9,Cloudy,Low,Car,Suburban,Dinner,,1.0,7.3,73.0
27.0,3.7,Sunny,Medium,Bicycle,Urban,Snack,No,2.0,6.1,71.0
34.0,4.2,Sunny,High,Car,Suburban,Dinner,No,1.0,2.0,61.0
25.0,4.2,Rainy,High,Motorcycle,Suburban,Breakfast,No,1.0,7.5,72.0
31.0,4.4,Stormy,High,Scooter,,Dinner,No,0.0,3.0,76.0
30.0,4.7,Sunny,High,Motorcycle,Suburban,Lunch,Yes,1.0,4.1,69.0
19.0,4.2,Cloudy,Low,Motorcycle,Urban,Lunch,No,2.0,7.4,46.0
20.0,3.5,Rainy,High,Scooter,Urban,Dinner,No,0.0,12.6,95.0
39.0,4.4,Cloudy,High,Scooter,Urban,Lunch,Yes,0.0,0.1,73.0
27.0,4.9,Windy,Medium,Car,Urban,Breakfast,No,4.0,6.3,86.0
21.0,4.7,Cloudy,Low,Motorcycle,Rural,Dinner,No,0.0,3.2,58.0
35.0,3.7,Rainy,High,Scooter,,Breakfast,No,1.0,1.7,86.0
32.0,4.2,,Medium,Bike,Urban,Lunch,No,0.0,7.0,72.0
33.0,3.2,Cloudy,Medium,Scooter,Rural,Dinner,No,3.0,13.0,74.0
16.0,3.6,Sunny,Medium,Bicycle,Urban,Dinner,Yes,3.0,10.8,87.0
22.0,3.6,Rainy,,Motorcycle,Rural,Lunch,No,4.0,7.4,71.0
24.0,4.1,Rainy,Medium,Bicycle,Urban,Breakfast,No,0.0,2.6,57.0
21.0,4.9,Cloudy,Jam,Motorcycle,,Lunch,,1.0,3.8,85.0
30.0,4.1,Windy,Medium,Bicycle,Urban,Breakfast,No,1.0,5.0,44.0
20.0,4.1,Rainy,Low,Bicycle,Urban,,No,1.0,9.2,67.0
24.0,4.7,Sunny,Medium,Motorcycle,Urban,Dinner,,0.0,18.6,99.0
,3.7,Cloudy,Jam,Scooter,,Lunch,No,0.0,3.0,85.0
30.0,3.6,Sunny,Medium,Motorcycle,Urban,Breakfast,No,1.0,7.0,65.0
25.0,4.1,Sunny,High,Motorcycle,Suburban,Breakfast,No,1.0,9.5,82.0
33.0,4.0,Windy,Medium,Scooter,Rural,Lunch,No,0.0,2.9,62.0
25.0,4.2,Sunny,Jam,Motorcycle,Suburban,,No,0.0,9.0,81.0
31.0,4.1,Cloudy,Jam,Scooter,Suburban,Dinner,No,1.0,3.3,77.0
25.0,4.3,Sunny,High,Motorcycle,,Lunch,No,2.0,3.0,57.0
29.0,4.7,,Low,Motorcycle,Suburban,Snack,No,2.0,11.6,78.0
22.0,4.4,Sunny,Jam,Motorcycle,Urban,Dinner,No,0.0,3.0,67.0
30.0,3.4,Cloudy,Medium,Motorcycle,Suburban,Lunch,Yes,1.0,4.6,67.0
26.0,4.7,Sunny,High,Motorcycle,Urban,Lunch,No,0.0,9.6,78.0
25.0,4.0,Sunny,High,Motorcycle,Urban,Dinner,No,0.0,5.8,57.0
17.0,3.7,Sunny,Jam,Motorcycle,Suburban,Dinner,Yes,2.0,2.9,77.0
35.0,3.5,Sunny,High,Motorcycle,Urban,Lunch,No,3.0,6.6,77.0
19.0,4.1,Sunny,High,Motorcycle,Suburban,Lunch,No,0.0,,71.0
36.0,4.0,Sunny,,Motorcycle,Suburban,Lunch,No,5.0,10.2,99.0
21.0,3.0,Cloudy,Low,Motorcycle,Urban,Breakfast,,1.0,0.7,48.0
35.0,4.7,,,Car,Suburban,Snack,Yes,1.0,6.8,83.0
21.0,3.9,Rainy,Jam,Scooter,Urban,Lunch,Yes,0.0,3.2,106.0
27.0,4.1,Cloudy,High,Bicycle,Urban,Snack,No,0.0,8.0,76.0
25.0,4.9,Cloudy,Low,Motorcycle,Suburban,Snack,No,1.0,1.3,36.0
28.0,5.0,Windy,Medium,Motorcycle,Urban,Lunch,No,1.0,14.3,92.0
30.0,4.1,Rainy,Medium,Motorcycle,,Dinner,No,0.0,2.7,58.0
27.0,4.2,Stormy,Jam,Bike,Urban,Dinner,Yes,0.0,0.7,100.0
23.0,4.5,Rainy,Jam,Motorcycle,Suburban,Snack,No,1.0,6.8,102.0
22.0,4.9,Cloudy,Medium,Scooter,Urban,Dinner,,0.0,1.8,57.0
22.0,4.3,Cloudy,Medium,Motorcycle,Urban,Snack,No,1.0,4.0,78.0
28.0,4.4,Cloudy,Low,Bicycle,,Breakfast,Yes,0.0,2.9,62.0
27.0,3.7,Rainy,Medium,Motorcycle,Urban,Dinner,No,0.0,10.3,100.0
22.0,4.0,Sunny,Medium,Motorcycle,Suburban,Lunch,Yes,2.0,11.4,112.0
36.0,4.3,Rainy,Jam,Motorcycle,Urban,Lunch,No,1.0,2.9,91.0
26.0,4.5,Cloudy,Medium,Scooter,Suburban,Dinner,No,1.0,4.0,56.0
18.0,3.9,Stormy,High,Bicycle,Suburban,Dinner,No,1.0,1.2,73.0
39.0,4.2,Sunny,Medium,Motorcycle,Rural,Lunch,No,2.0,4.6,60.0
24.0,4.6,Rainy,High,Car,Rural,,No,1.0,8.4,91.0
34.0,5.0,Sunny,Medium,Motorcycle,Urban,Lunch,No,1.0,6.2,55.0
22.0,4.0,Rainy,Low,Scooter,Rural,Lunch,No,1.0,5.4,45.0
29.0,4.7,Sunny,,Scooter,Rural,Lunch,Yes,0.0,18.5,97.0
32.0,4.8,Sunny,Medium,Motorcycle,Suburban,Lunch,,1.0,10.1,71.0
44.0,4.1,,Medium,Car,Rural,Breakfast,No,3.0,4.3,72.0
40.0,4.8,Sunny,Low,Motorcycle,Suburban,Lunch,No,2.0,3.9,37.0
34.0,5.0,Sunny,Medium,Motorcycle,Urban,Breakfast,No,3.0,4.1,67.0
37.0,3.2,Sunny,Jam,Bicycle,,Snack,No,2.0,9.1,90.0
31.0,,Rainy,Medium,Motorcycle,Rural,Breakfast,Yes,2.0,,87.0
23.0,3.9,Rainy,Medium,Car,Rural,Dinner,Yes,2.0,3.6,83.0
28.0,4.8,Stormy,High,Car,Urban,Breakfast,,1.0,1.1,77.0
44.0,4.2,Sunny,Medium,Car,Rural,Snack,Yes,0.0,3.7,63.0
25.0,4.1,Sunny,Low,Scooter,Suburban,Snack,Yes,,6.4,67.0
28.0,4.8,Rainy,High,Car,Urban,Breakfast,No,0.0,2.9,56.0
38.0,4.0,Sunny,Low,Car,Rural,Snack,No,2.0,6.8,67.0
25.0,4.8,Stormy,High,Motorcycle,Urban,Snack,No,0.0,9.5,87.0
37.0,4.1,Windy,Jam,Scooter,Rural,Snack,No,0.0,1.8,65.0
28.0,3.6,Sunny,,Motorcycle,Urban,Dinner,No,2.0,1.1,46.0
26.0,4.1,Sunny,,Scooter,Urban,Lunch,Yes,1.0,1.7,58.0
40.0,4.2,Cloudy,High,Bike,Suburban,Dinner,No,1.0,3.3,69.0
34.0,3.3,Cloudy,High,Motorcycle,Suburban,Lunch,,1.0,10.0,88.0
26.0,4.5,,High,,Urban,Lunch,Yes,1.0,2.5,95.0
26.0,4.0,Stormy,High,Motorcycle,Suburban,Lunch,No,2.0,7.6,96.0
29.0,4.1,Rainy,Medium,Car,Rural,Lunch,No,1.0,3.0,68.0
21.0,3.8,Rainy,High,Motorcycle,Suburban,Dinner,No,1.0,4.0,76.0
29.0,4.4,Cloudy,Medium,Car,Suburban,Lunch,Yes,0.0,5.5,89.0
27.0,4.5,Cloudy,Medium,Scooter,Urban,Dinner,Yes,1.0,7.7,85.0
40.0,5.0,Cloudy,Medium,Car,Suburban,Breakfast,Yes,4.0,8.7,89.0
20.0,4.1,Sunny,Low,Scooter,Suburban,Snack,No,1.0,3.4,56.0
21.0,4.5,Sunny,High,Car,Rural,Dinner,No,1.0,3.7,62.0
26.0,3.9,Rainy,High,Car,Urban,Dinner,No,0.0,3.0,66.0
36.0,3.9,Cloudy,,Scooter,Urban,Lunch,Yes,0.0,13.0,82.0
25.0,4.3,Cloudy,High,,Rural,Dinner,Yes,0.0,6.6,78.0
31.0,3.4,Stormy,,Motorcycle,Urban,Lunch,No,1.0,3.1,62.0
,4.4,Cloudy,High,Scooter,Suburban,Snack,No,0.0,2.4,52.0
31.0,3.8,Sunny,Low,Scooter,Urban,Dinner,No,0.0,6.5,45.0
37.0,4.2,Rainy,High,Motorcycle,Urban,Lunch,Yes,2.0,9.2,109.0
42.0,3.3,Windy,Medium,Car,Urban,Breakfast,No,1.0,3.4,59.0
13.0,3.6,Rainy,High,Motorcycle,Rural,Lunch,Yes,3.0,3.6,104.0
24.0,3.5,Sunny,Low,Bicycle,Suburban,Lunch,No,1.0,2.5,41.0
37.0,3.5,Windy,Jam,Motorcycle,,Lunch,Yes,2.0,4.0,103.0
33.0,3.2,Windy,High,Scooter,Suburban,Snack,No,1.0,8.7,95.0
25.0,3.9,Rainy,Medium,Bicycle,Suburban,Lunch,,0.0,4.9,57.0
25.0,3.8,Cloudy,High,Motorcycle,Rural,Lunch,No,0.0,1.5,46.0
37.0,4.5,Rainy,Medium,Scooter,Rural,Snack,No,1.0,1.3,59.0
29.0,4.1,Sunny,High,Bicycle,,Lunch,No,1.0,4.3,71.0
25.0,4.2,Sunny,Medium,Scooter,Urban,Dinner,Yes,2.0,0.9,55.0
24.0,4.4,Rainy,Low,Scooter,Urban,Snack,No,2.0,3.4,75.0
29.0,3.1,Stormy,High,Bicycle,Suburban,Breakfast,Yes,0.0,0.5,81.0
39.0,4.5,Sunny,Low,Scooter,Urban,Lunch,No,5.0,6.5,72.0
32.0,4.0,Sunny,Low,Car,Urban,Breakfast,No,2.0,0.3,45.0
34.0,4.2,Cloudy,Medium,Scooter,Suburban,Dinner,No,0.0,4.2,78.0
28.0,4.2,Windy,Medium,Car,,Lunch,,2.0,7.8,80.0
29.0,4.5,Sunny,High,Motorcycle,Suburban,Dinner,No,2.0,1.9,69.0
29.0,4.1,Windy,Low,Bicycle,Urban,Dinner,No,2.0,10.6,90.0
26.0,,,Low,Scooter,Suburban,Lunch,Yes,2.0,4.2,48.0
33.0,4.2,Windy,Low,Car,,Breakfast,No,1.0,3.7,41.0
32.0,3.8,Windy,Low,Motorcycle,Urban,Dinner,Yes,3.0,2.0,60.0
28.0,4.1,Cloudy,,Car,Suburban,Lunch,No,2.0,5.5,82.0
29.0,4.0,Sunny,Medium,Motorcycle,Urban,Lunch,No,2.0,1.9,42.0
25.0,3.6,Sunny,Medium,Motorcycle,Rural,Lunch,No,0.0,2.7,66.0
20.0,4.1,Cloudy,Low,Motorcycle,Urban,Lunch,No,2.0,15.7,75.0
29.0,4.8,Rainy,Medium,Bicycle,Urban,,No,1.0,2.2,71.0
26.0,4.3,Cloudy,High,Motorcycle,,Dinner,No,1.0,1.9,54.0
29.0,3.8,Sunny,High,Scooter,Rural,Lunch,No,0.0,2.1,43.0
24.0,4.0,Windy,High,Bicycle,,Snack,Yes,1.0,2.5,87.0
37.0,4.8,Sunny,Jam,Car,,Lunch,No,0.0,7.6,95.0
32.0,3.6,Rainy,Jam,Motorcycle,Suburban,Dinner,No,0.0,1.1,87.0
31.0,4.0,Rainy,Medium,Scooter,Urban,Lunch,No,0.0,1.8,62.0
15.0,3.9,,High,Motorcycle,Suburban,Dinner,Yes,0.0,4.4,93.0
28.0,4.1,,Low,Motorcycle,Suburban,Dinner,No,1.0,1.7,63.0
25.0,3.8,Windy,High,Scooter,Rural,Lunch,No,1.0,7.1,82.0
27.0,4.7,Windy,Low,Car,Suburban,Breakfast,Yes,0.0,8.8,74.0
31.0,4.0,Cloudy,Medium,,Suburban,Dinner,No,2.0,5.5,71.0
26.0,4.1,Sunny,Jam,Car,,Lunch,Yes,0.0,9.8,104.0
23.0,4.0,Sunny,Medium,Scooter,Urban,Lunch,No,3.0,5.5,58.0
33.0,5.0,Stormy,High,Motorcycle,Suburban,Lunch,Yes,2.0,4.7,98.0
23.0,4.5,Sunny,Low,Scooter,Suburban,Lunch,No,2.0,15.0,77.0
32.0,3.8,Windy,High,Motorcycle,Rural,Dinner,No,0.0,4.8,74.0
38.0,4.0,,Medium,Motorcycle,Rural,Lunch,No,1.0,,43.0
29.0,3.8,Rainy,Medium,Car,Urban,Lunch,No,1.0,2.9,53.0
30.0,4.2,Sunny,High,Motorcycle,Rural,Lunch,No,0.0,2.3,55.0
35.0,4.2,Cloudy,Medium,Motorcycle,Urban,Dinner,No,0.0,4.5,38.0
32.0,4.1,Rainy,Medium,Motorcycle,Suburban,Dinner,,3.0,4.6,62.0
38.0,4.6,,High,Car,Urban,Lunch,No,3.0,1.7,75.0
28.0,4.8,Sunny,Low,Bicycle,Urban,Snack,No,3.0,6.7,36.0
28.0,4.5,Rainy,Jam,Motorcycle,Urban,Dinner,No,1.0,4.4,96.0
20.0,4.9,,High,Bicycle,Urban,Snack,No,2.0,6.7,89.0
37.0,3.9,Sunny,Low,,Urban,Dinner,,1.0,2.5,33.0
29.0,4.8,Sunny,,Bicycle,Urban,Snack,Yes,0.0,12.9,96.0
,3.6,Sunny,Low,Scooter,Rural,Dinner,No,0.0,5.8,49.0
30.0,5.0,Sunny,Medium,Scooter,Urban,Lunch,No,1.0,7.0,64.0
42.0,3.7,Sunny,Medium,Motorcycle,Suburban,Lunch,Yes,2.0,3.4,65.0
26.0,4.3,Sunny,Low,,Urban,Dinner,No,1.0,7.4,42.0
